Id,SubjectId,Name,GroupId trong sheet Nhóm
194,IT4130E,(Không tìm thấy trong tài liệu),38
195,IT5423,Huấn luyện song song phân tán,38
196,IT5408,Tính toán hiệu năng cao,38
197,IT5404,(Không tìm thấy trong tài liệu),38
198,IT4611BS,(Không tìm thấy trong tài liệu),38
199,IT4651,Thiết kế và triển khai mạng IP,39
200,IT4651E,IP Network Design and Implementation,39
201,IT4815,Quản trị mạng,39
202,IT4653,Học sâu và ứng dụng,40
203,IT3320E,Introduction to Deep Learning,40
204,IT3190,Nhập môn Học máy và khai phá dữ liệu,40
205,IT3190E,Học máy,40
206,IT3191E,Machine Learning and Data Mining,40
207,IT4242E,Machine Learning and Data Mining,40
208,IT5410,Nền tảng AI tạo sinh,40
209,IT5415,Học máy đa thể thức,40
210,IT5416,Phát triển trí tuệ nhân tạo đáng tin cậy,40
211,IT5414,Vận hành hệ thống học máy,40
212,IT6328E,(Không tìm thấy trong tài liệu),40
213,IT6428E,(Không tìm thấy trong tài liệu),40
214,IT6011,(Không tìm thấy trong tài liệu),40
215,IT4653BS,(Không tìm thấy trong tài liệu),40
216,IT4681,Truyền thông đa phương tiện,41
217,IT4682,Truyền thông đa phương tiện,41
218,IT4682E,Multimedia Communication,41
219,IT4621,Xử lý dữ liệu đa phương tiện,41
220,IT4622,Mã hóa dữ liệu đa phương tiện,41
221,IT4772,Xử lý ngôn ngữ tự nhiên,42
222,IT4772E,Natural Language Processing,42
223,IT4863,Tìm kiếm thông tin,42
224,IT4868,Khai phá Web,42
225,IT4868E,Web Mining,42
226,IT5411,Truy vấn dữ liệu,42
227,IT5412,Mô hình ngôn ngữ lớn,42
228,IT5431,Xây dựng Chatbot và các hệ thống hỏi đáp với AI tạo sinh,42
229,IT5426,Tác tử tự quản sử dụng mô hình ngôn ngữ lớn,42
230,IT4335,Khai phá Web,42
231,IT4863BS,(Không tìm thấy trong tài liệu),42
232,IT4785,Phát triển ứng dụng cho thiết bị di động,43
233,IT4785E,Mobile Programming,43
234,IT5444,Automotive App Development,43
235,IT5445,Hệ điều hành cho ô tô,43
236,IT4885,Mô hình và thuật toán Internet phổ biến,44
237,IT4931,Lưu trữ và xử lý dữ liệu lớn,45
238,IT5384,Lưu trữ và phân tích dữ liệu lớn,45
239,IT4043E,Big Data Storage and Processing,45
240,IT5429,Lưu trữ và xử lý dữ liệu lớn (Dự đoán từ IT4931/IT5384),45
241,IT5429E,(Không tìm thấy trong tài liệu),45
242,IT4931BS,(Không tìm thấy trong tài liệu),45
243,IT4735,IoT và ứng dụng,46
244,IT4735E,IoT and Applications,46
245,IT6130,(Không tìm thấy trong tài liệu),46
246,IT4930,Nhập môn Khoa học dữ liệu,47
247,IT4142E,Introduction to Data Science,47
248,IT4788,Phát triển ứng dụng đa nền tảng,48
249,IT5419,Tích hợp Hệ thống thông tin,49
250,IT4350,Kiến trúc các hệ thống thông tin và ứng dụng,49
251,IT5420,Tích hợp dữ liệu,50
252,IT5427,AI tạo sinh trong thương mại điện tử và marketing số,50
253,IT5427E,AI tạo sinh trong thương mại điện tử và marketing số (Dự đoán từ IT5427),50
254,IT6390,(Không tìm thấy trong tài liệu),51
255,IT5390,Web ngữ nghĩa,51
256,IT6390E,(Không tìm thấy trong tài liệu),51
257,IT4422,Phát triển Hệ thống phần mềm doanh nghiệp,52
258,IT4431,Tin sinh học,53
259,IT5428,"AI tạo sinh trong tin sinh học, y học và chăm sóc sức khỏe",53
260,IT5438,AI tạo sinh trong thương mại điện tử và marketing số,53
261,IT4429,Công nghệ nhận dạng và tổng hợp tiếng nói,54
262,IT5424,Tạo sinh âm thanh,54
263,IT4423,Các kỹ thuật định vị và ứng dụng,55
264,IT4527,Blockchain và ứng dụng,56
265,IT4527E,Blockchain và ứng dụng,56
266,IT6016,(Không tìm thấy trong tài liệu),56
267,IT4670,Đánh giá hiệu năng mạng,57
268,IT5320,An toàn thông tin cho IoT,58
269,IT6120,(Không tìm thấy trong tài liệu),58
270,IT5449,An toàn thông tin cho ô tô,58
271,IT6015,(Không tìm thấy trong tài liệu),58
272,IT2022E,Thống kê ứng dụng và phân tích thực nghiệm,59
273,IT2022,Thống kê ứng dụng và quy hoạch thực nghiệm,59
274,IT5208,(Không tìm thấy trong tài liệu),59
275,IT4023E,Data Visualization,60
276,IT5425,Quản trị dữ liệu và trực quan hóa,60
277,IT5425E,(Không tìm thấy trong tài liệu),60
278,IT5315,(Không tìm thấy trong tài liệu),61
279,IT4818,Phân tích nghiệp vụ thông minh,61
280,IT4063,(Không tìm thấy trong tài liệu),61
281,IT4063E,Introduction to Business Analytics,61
282,IT5315E,(Không tìm thấy trong tài liệu),61
283,IT3106E,Lập trình hệ thống,62
284,IT4132E,(Không tìm thấy trong tài liệu),62
285,IT4132,(Không tìm thấy trong tài liệu),62
286,IT4403E,Phát triển ứng dụng Web an toàn,63
287,IT4432E,Hệ thống xác thực sinh trắc học,64
288,IT6024,(Không tìm thấy trong tài liệu),64
289,IT4508E,An toàn phần mềm,65
290,IT4630E,Phân tích mã độc,66
291,IT4450E,Điều tra số,67
292,IT6025,(Không tìm thấy trong tài liệu),67
293,IT4413E,Kiểm thử xâm nhập,68
294,IT6023,(Không tìm thấy trong tài liệu),68
295,IT5305E,(Không tìm thấy trong tài liệu),69
296,IT6017,(Không tìm thấy trong tài liệu),70
297,IT6018,(Không tìm thấy trong tài liệu),71
298,IT6021,(Không tìm thấy trong tài liệu),72
